parameter	name (if diff)	unit	expected	low	high	distribution	references
tau	HRT for Tank 1	days	1	0.9	1.1	triangular	BMGF Report
COD_removal		fraction of COD removal	0.3	0.27	0.33	uniform	"Tchobanoglous et al,. 2014 (EAWAG: 80-85 fraction of BOD removal)"
MCF_decay		fraction of anaerobic conversion of degraded COD	1			constant	"IPCC, 2006"
N2O_EF_decay		fraction of of degraded N emitted as N2O	0.005	0.0005	0.006	triangular	"IPCC, 2006; Leeds"
tank_steel_volume		m3	19.5			constant	BOM
steel_density		kg/m3	7850			constant	BOM
collection_tank_cost		USD	24975	22477.5	27472.5	uniform	BOM
weld_female_adapter_fittings		USD	6.87	6.183	7.557	uniform	https://thedrainagesource.com/4-pvc-sdr35-solvent-weld-female-adapter-s-x-fpt/?srsltid=AfmBOorc5xzjQmxhmGZ2dstlABtaDC0az8KOrbJaDaI1zrV2U6IJzc1r
pipeline_connectors		USD	13.16	11.844	14.476	uniform	https://www.eco-filtration.co.uk/product/110mm-4-pond-threaded-tank-connector/?srsltid=AfmBOoqFzwEcDdzmztkcvuSYA_anY1hoj5U5rOQz0Q8s1FUBhTeQpdX2
collection_tank_lifetime		yr	8	7.2	8.8	uniform	assumption
weld_female_adapter_fittings_lifetime		yr	5	4.5	5.5	uniform	assumption
pipeline_connectors_lifetime		yr	5	4.5	5.5	uniform	assumption
power_demand_CT	energy consumption for primary clarifier tank	KWh/day	1	0.9	1.1	uniform	assumption
