parameter	name (if diff)	unit	expected	low	high	distribution	references
tau	HRT for Tank 1	days	1	0.5	2	triangular	BMGF Report
COD_removal		fraction of COD removal	0.665	0.55	0.78	uniform	"Tchobanoglous et al,. 2014 (EAWAG: 80-85fraction of BOD removal)"
MCF_decay		fraction of anaerobic conversion of degraded COD	1			constant	"IPCC, 2006"
N_max_decay		fraction of N removal	0.23	0.1725	0.2875	constant	"Orner and Mihelcic, 2017"
N2O_EF_decay		fraction of of degraded N emitted as N2O	0.005	0.0005	0.006	triangular	"IPCC, 2006; Leeds"
FRP_tank_cost	estimated cost of three tanks	USD	1100	990	1210	triangular	Eco-san BOM
FRP_per_tank	estimated kg of FRP for all three tanks	kg	4589.866667	4130.88	5048.853333	uniform	BMGF Report
pump	2 pump (regulating tank) 40PU2.15S(One for each use)	USD/set	462	415.8	508.2	triangular	Eco-san BOM
volume_CP_T1	collection and primary sedimentaiton tank 1 with coarse screen	m^3	2.02			constant	BMGF Report
volume_CP_T2	collection and primary sedimentaiton tank 1 with coarse screen	m^3	3.02			constant	BMGF Report
volume_RT	regulating tank volume	m^3	4.04			constant	BMGF Report
power_demand	energy consumption for collection and buffering tank system	KWh/day	0.202469136	0.151851852	0.25308642	uniform	BMGF Report
sensor_replacement	lever sensor (float switch) replacement	times/year	0.5	0.45	0.55	triangular	BMGF Report
electronics	electronic mass for LCA	kg	100	75	125	uniform	assumption
level_guage_cost	4	USD	40	36	44	triangular	BOM
operator_wages		USD/day	29	5.37	52.59	triangular	
OM		times/year	5	4	6	uniform	
pump_ammount		ea	2			constant	BOM
MW_P		g/mol	30.97			constant	
MW_N		g/mol	14.01			constant	
MW_struvite		g/mol	245.41			constant	
MW_MgOH2		g/mol	58.32			constant	
N_P_ratio_struvite			1			constant	
orthoP_post_AnMBR		mg/L	13.2			constant	
P_recovery		%	0.751			constant	
Mg_dose		mol-Mg/mol_p	2.86			constant	
MgOH2_cost		USD/something	3			constant	
VSS_TSS_ratio			0.8	0.68	0.92	uniform	
TP_removal			0.05	0.025	0.075	uniform	
reactor_volume			3.03	2.02	4.04	uniform	
